f_name,gnd,doi,name,fulltext
ABIL.html,,https://dx.doi.org/10.1553/0x0001fc63,Anton Bruckner Institut Linz (ABIL) ,
AGMOE.html,,https://dx.doi.org/10.1553/0x0001f720,Arbeitsgemeinschaft der Musikerzieher Österreichs (AGMÖ) ,
AKM.html,,https://dx.doi.org/10.1553/0x0001f791,"Autoren, Komponisten, Musikverleger, Staatlich genehmigte Gesellschaft der (AKM) ",
Abado_Marwan.html,https://d-nb.info/gnd/138035768,,"Abado, Marwan Viola Raheb",
Abbado_Claudio.html,https://d-nb.info/gnd/119150700,https://dx.doi.org/10.1553/0x00312aec,"Abbado, Claudio",
Abbrederis_Matthaeus.html,https://d-nb.info/gnd/121402452,https://dx.doi.org/10.1553/0x000202e9,"Abbrederis, Matthäus",
Abe_Kyoko.html,https://d-nb.info/gnd/134310179,https://dx.doi.org/10.1553/0x0001f63c,"Abe, Kyoko",
Abel_Hedwig.html,https://d-nb.info/gnd/141632429,https://dx.doi.org/10.1553/0x0001f632,"Abel, Hedwig",
Abel_Josef.html,https://d-nb.info/gnd/14052259X,https://dx.doi.org/10.1553/0x0001f633,"Abel, Josef",
Abel_Katharina.html,https://d-nb.info/gnd/1033760196,https://dx.doi.org/10.1553/0x0001f634,"Abel, Katharina",
Abendroth_Irene.html,https://d-nb.info/gnd/116002506,https://dx.doi.org/10.1553/0x0001f635,"Abendroth, Irene",
Abendunterhaltung.html,,https://dx.doi.org/10.1553/0x0001f636,Abendunterhaltung ,
Abenthung_Josef.html,https://d-nb.info/gnd/139389210,https://dx.doi.org/10.1553/0x0001f637,"Abenthung, Josef",
Aberer_Rolf.html,https://d-nb.info/gnd/13461187X,https://dx.doi.org/10.1553/0x0001f639,"Aberer, Rolf Gerty Sedlmayr",
Abert_Josef.html,https://d-nb.info/gnd/118877895,https://dx.doi.org/10.1553/0x0001f63a,"Abert, Johann Josef",
Abesser_Edmund.html,https://d-nb.info/gnd/117733717,https://dx.doi.org/10.1553/0x0001f63b,"Abesser, Edmund",
Ablinger_Peter.html,https://d-nb.info/gnd/122952057,https://dx.doi.org/10.1553/0x0001f63d,"Ablinger, Peter",
Abloescher_Johannes.html,,,"Ablöscher, Johannes (Hans) Alfred Franz Franz",
Abraham_Paul.html,https://d-nb.info/gnd/122365534,https://dx.doi.org/10.1553/0x0001f63e,"Ábrahám, Paul",
Abranyi_Kornel.html,https://d-nb.info/gnd/133643514,https://dx.doi.org/10.1553/0x000221aa,"Abrányi, Kornel",
Absenger_Anton.html,https://d-nb.info/gnd/139724095,https://dx.doi.org/10.1553/0x0001f642,"Absenger, Anton",
Absolute_Musik.html,,https://dx.doi.org/10.1553/0x0001f644,Absolute Musik ,
Accompagnement_obligates.html,,https://dx.doi.org/10.1553/0x0001f645,"Accompagnement, Obligates",
Achamer_Sebastian.html,https://d-nb.info/gnd/103376082X,https://dx.doi.org/10.1553/0x0001f646,"Achamer (Achheimer), Sebastian",
Achazel_Mathias.html,https://d-nb.info/gnd/14383326X,https://dx.doi.org/10.1553/0x0001f648,"Achazel (Ahazel), Mathias (Matija)",
Achleitner_Innocenz.html,https://d-nb.info/gnd/1033761656,https://dx.doi.org/10.1553/0x0001f649,"Achleitner, Innocenz",
Achleitner_Rudolf.html,https://d-nb.info/gnd/134310500,https://dx.doi.org/10.1553/0x0001f64a,"Achleitner, Rudolf",
Achleitner_Walter.html,https://d-nb.info/gnd/103843469,https://dx.doi.org/10.1553/0x0001f64c,"Achleitner, Walter",
Achsel-Clemens_Wanda.html,https://d-nb.info/gnd/124141641,https://dx.doi.org/10.1553/0x0001f64d,"Achsel-Clemens (geb. Achsel), Wanda Margarethe Gertrud Hans Clemens",
